Instruction datasets written to data/instruct
[+] Loading tokenizer and model...
[+] Setting up LoRA...
trainable params: 1,126,400 || all params: 1,101,174,784 || trainable%: 0.1023
[+] Loading datasets...
[+] Tokenizing datasets...
[+] Starting training...
{'loss': 1.1182, 'grad_norm': 4.550999164581299, 'learning_rate': 1.8874042051483595e-05, 'epoch': 0.17}
{'loss': 1.1822, 'grad_norm': 3.054131031036377, 'learning_rate': 1.8867491976157727e-05, 'epoch': 0.17}
{'loss': 1.1759, 'grad_norm': 3.360884428024292, 'learning_rate': 1.8860941900831862e-05, 'epoch': 0.17}
{'loss': 1.1974, 'grad_norm': 3.8219544887542725, 'learning_rate': 1.8854391825505997e-05, 'epoch': 0.17}
{'loss': 1.1585, 'grad_norm': 3.6130893230438232, 'learning_rate': 1.884784175018013e-05, 'epoch': 0.17}
{'loss': 1.0664, 'grad_norm': 2.7663471698760986, 'learning_rate': 1.8841291674854264e-05, 'epoch': 0.17}
{'loss': 1.1217, 'grad_norm': 2.384545087814331, 'learning_rate': 1.8834741599528395e-05, 'epoch': 0.17}
{'loss': 1.2634, 'grad_norm': 2.6857733726501465, 'learning_rate': 1.882819152420253e-05, 'epoch': 0.18}
{'loss': 1.2204, 'grad_norm': 3.18037748336792, 'learning_rate': 1.8821641448876665e-05, 'epoch': 0.18}
{'loss': 1.218, 'grad_norm': 3.3870577812194824, 'learning_rate': 1.8815091373550797e-05, 'epoch': 0.18}
{'loss': 1.165, 'grad_norm': 2.3564462661743164, 'learning_rate': 1.8808541298224932e-05, 'epoch': 0.18}
{'loss': 1.1214, 'grad_norm': 3.2065818309783936, 'learning_rate': 1.8801991222899064e-05, 'epoch': 0.18}
{'loss': 1.2051, 'grad_norm': 3.383115768432617, 'learning_rate': 1.87954411475732e-05, 'epoch': 0.18}
{'loss': 1.1448, 'grad_norm': 2.886772871017456, 'learning_rate': 1.8788891072247334e-05, 'epoch': 0.18}
{'loss': 1.1359, 'grad_norm': 2.6199216842651367, 'learning_rate': 1.8782340996921466e-05, 'epoch': 0.18}
{'loss': 1.1592, 'grad_norm': 3.8825106620788574, 'learning_rate': 1.87757909215956e-05, 'epoch': 0.18}
{'loss': 1.1892, 'grad_norm': 2.7349822521209717, 'learning_rate': 1.8769240846269733e-05, 'epoch': 0.18}
{'loss': 1.0869, 'grad_norm': 2.643967866897583, 'learning_rate': 1.8762690770943868e-05, 'epoch': 0.19}
{'loss': 1.2994, 'grad_norm': 4.086030960083008, 'learning_rate': 1.8756140695618003e-05, 'epoch': 0.19}
{'loss': 1.1545, 'grad_norm': 2.528932571411133, 'learning_rate': 1.8749590620292134e-05, 'epoch': 0.19}
{'loss': 1.2083, 'grad_norm': 3.239717960357666, 'learning_rate': 1.874304054496627e-05, 'epoch': 0.19}
{'loss': 1.1384, 'grad_norm': 3.221879720687866, 'learning_rate': 1.87364904696404e-05, 'epoch': 0.19}
{'loss': 1.1656, 'grad_norm': 4.311331272125244, 'learning_rate': 1.8729940394314536e-05, 'epoch': 0.19}
{'loss': 1.0952, 'grad_norm': 2.5372560024261475, 'learning_rate': 1.872339031898867e-05, 'epoch': 0.19}
{'loss': 1.1578, 'grad_norm': 3.9991209506988525, 'learning_rate': 1.8716840243662803e-05, 'epoch': 0.19}
{'loss': 1.1673, 'grad_norm': 3.11873197555542, 'learning_rate': 1.8710290168336938e-05, 'epoch': 0.19}
{'loss': 1.1251, 'grad_norm': 3.198817491531372, 'learning_rate': 1.870374009301107e-05, 'epoch': 0.19}
{'loss': 1.1359, 'grad_norm': 3.154675006866455, 'learning_rate': 1.8697190017685205e-05, 'epoch': 0.2}
{'loss': 1.2712, 'grad_norm': 2.3477671146392822, 'learning_rate': 1.869063994235934e-05, 'epoch': 0.2}
{'loss': 1.2669, 'grad_norm': 3.1387836933135986, 'learning_rate': 1.868408986703347e-05, 'epoch': 0.2}
{'loss': 1.0851, 'grad_norm': 5.157552242279053, 'learning_rate': 1.8677539791707607e-05, 'epoch': 0.2}
{'loss': 1.1816, 'grad_norm': 3.763300895690918, 'learning_rate': 1.8670989716381738e-05, 'epoch': 0.2}
{'loss': 1.2334, 'grad_norm': 3.582596778869629, 'learning_rate': 1.8664439641055873e-05, 'epoch': 0.2}
{'loss': 1.0094, 'grad_norm': 2.9614319801330566, 'learning_rate': 1.865788956573001e-05, 'epoch': 0.2}
{'loss': 1.1418, 'grad_norm': 2.818509817123413, 'learning_rate': 1.865133949040414e-05, 'epoch': 0.2}
{'loss': 1.1246, 'grad_norm': 2.9883055686950684, 'learning_rate': 1.8644789415078275e-05, 'epoch': 0.2}
{'loss': 1.2264, 'grad_norm': 3.836263656616211, 'learning_rate': 1.863823933975241e-05, 'epoch': 0.2}
{'loss': 1.1173, 'grad_norm': 3.1082420349121094, 'learning_rate': 1.8631689264426542e-05, 'epoch': 0.21}
{'loss': 1.1421, 'grad_norm': 3.0624051094055176, 'learning_rate': 1.8625139189100677e-05, 'epoch': 0.21}
{'loss': 1.1406, 'grad_norm': 3.17140531539917, 'learning_rate': 1.861858911377481e-05, 'epoch': 0.21}
{'loss': 1.1419, 'grad_norm': 3.8755462169647217, 'learning_rate': 1.8612039038448944e-05, 'epoch': 0.21}
{'loss': 1.0361, 'grad_norm': 3.269908905029297, 'learning_rate': 1.860548896312308e-05, 'epoch': 0.21}
{'loss': 1.1402, 'grad_norm': 3.8902182579040527, 'learning_rate': 1.859893888779721e-05, 'epoch': 0.21}
{'loss': 1.1536, 'grad_norm': 3.3018271923065186, 'learning_rate': 1.8592388812471346e-05, 'epoch': 0.21}
{'loss': 1.1171, 'grad_norm': 4.651840686798096, 'learning_rate': 1.8585838737145477e-05, 'epoch': 0.21}
{'loss': 1.0947, 'grad_norm': 3.626739740371704, 'learning_rate': 1.8579288661819612e-05, 'epoch': 0.21}
{'loss': 1.0472, 'grad_norm': 3.9195215702056885, 'learning_rate': 1.8572738586493747e-05, 'epoch': 0.21}
