Instruction datasets written to data/instruct
[Tue Nov 25 23:19:55 EST 2025] Step 2a: Training LoRA (TinyLlama-1.1B-Chat-v1.0 on medqa)...
[+] Loading tokenizer and model...
[+] Setting up LoRA...
trainable params: 1,126,400 || all params: 1,101,174,784 || trainable%: 0.1023
[+] Loading datasets...
[+] Tokenizing datasets...
[+] Starting training...
{'loss': 0.9911, 'grad_norm': 2.13539981842041, 'learning_rate': 1.8834741599528395e-05, 'epoch': 0.17}
{'loss': 1.1195, 'grad_norm': 2.381523370742798, 'learning_rate': 1.882819152420253e-05, 'epoch': 0.18}
{'loss': 1.0861, 'grad_norm': 2.811396598815918, 'learning_rate': 1.8821641448876665e-05, 'epoch': 0.18}
{'loss': 1.0652, 'grad_norm': 2.7836410999298096, 'learning_rate': 1.8815091373550797e-05, 'epoch': 0.18}
{'loss': 1.0293, 'grad_norm': 2.1212575435638428, 'learning_rate': 1.8808541298224932e-05, 'epoch': 0.18}
{'loss': 0.9781, 'grad_norm': 2.7500102519989014, 'learning_rate': 1.8801991222899064e-05, 'epoch': 0.18}
{'loss': 1.0638, 'grad_norm': 2.819619655609131, 'learning_rate': 1.87954411475732e-05, 'epoch': 0.18}
{'loss': 1.0169, 'grad_norm': 2.4912686347961426, 'learning_rate': 1.8788891072247334e-05, 'epoch': 0.18}
{'loss': 1.0108, 'grad_norm': 2.3352670669555664, 'learning_rate': 1.8782340996921466e-05, 'epoch': 0.18}
{'loss': 1.0319, 'grad_norm': 3.2566967010498047, 'learning_rate': 1.87757909215956e-05, 'epoch': 0.18}
{'loss': 1.0666, 'grad_norm': 2.33862566947937, 'learning_rate': 1.8769240846269733e-05, 'epoch': 0.18}
{'loss': 0.9706, 'grad_norm': 2.413238763809204, 'learning_rate': 1.8762690770943868e-05, 'epoch': 0.19}
{'loss': 1.1464, 'grad_norm': 3.393848180770874, 'learning_rate': 1.8756140695618003e-05, 'epoch': 0.19}
{'loss': 1.0259, 'grad_norm': 2.20888614654541, 'learning_rate': 1.8749590620292134e-05, 'epoch': 0.19}
{'loss': 1.0828, 'grad_norm': 2.8748700618743896, 'learning_rate': 1.874304054496627e-05, 'epoch': 0.19}
{'loss': 0.9949, 'grad_norm': 2.879983901977539, 'learning_rate': 1.87364904696404e-05, 'epoch': 0.19}
{'loss': 1.0398, 'grad_norm': 3.6883416175842285, 'learning_rate': 1.8729940394314536e-05, 'epoch': 0.19}
{'loss': 0.9805, 'grad_norm': 2.1948342323303223, 'learning_rate': 1.872339031898867e-05, 'epoch': 0.19}
{'loss': 0.9934, 'grad_norm': 3.2773382663726807, 'learning_rate': 1.8716840243662803e-05, 'epoch': 0.19}
{'loss': 1.0323, 'grad_norm': 2.557840347290039, 'learning_rate': 1.8710290168336938e-05, 'epoch': 0.19}
{'loss': 0.9899, 'grad_norm': 2.703640937805176, 'learning_rate': 1.870374009301107e-05, 'epoch': 0.19}
{'loss': 0.9993, 'grad_norm': 2.6086063385009766, 'learning_rate': 1.8697190017685205e-05, 'epoch': 0.2}
{'loss': 1.1435, 'grad_norm': 2.1558053493499756, 'learning_rate': 1.869063994235934e-05, 'epoch': 0.2}
{'loss': 1.1168, 'grad_norm': 2.7725327014923096, 'learning_rate': 1.868408986703347e-05, 'epoch': 0.2}
{'loss': 0.955, 'grad_norm': 4.045251846313477, 'learning_rate': 1.8677539791707607e-05, 'epoch': 0.2}
{'loss': 1.041, 'grad_norm': 2.8665366172790527, 'learning_rate': 1.8670989716381738e-05, 'epoch': 0.2}
